age,industry,currency,country,years_experience,years_experience_field,education,gender,total_salary,salary_COP
25-34,Finance,USD,United States,5-7 years,2 - 4 years,College degree,Woman,86000.0,344000000.0
35-44,Government,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,78000.0,312000000.0
25-34,Finance,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,37000.0,148000000.0
45-54,Manufacturing,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,150000.0,600000000.0
35-44,Marketing & PR,GBP,United Kingdom,11 - 20 years,11 - 20 years,College degree,Woman,41000.0,205000000.0
25-34,Government,USD,United States,5-7 years,5-7 years,College degree,Man,65000.0,260000000.0
25-34,Technology,USD,United States,8 - 10 years,5-7 years,College degree,Woman,192500.0,770000000.0
25-34,Technology,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Man,130000.0,520000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,68125.0,272500000.0
35-44,Technology,USD,United States,5-7 years,5-7 years,PhD,Woman,147100.0,588400000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,240850.0,963400000.0
25-34,Manufacturing,CAD,Canada,11 - 20 years,8 - 10 years,College degree,Woman,121500.0,388800000.0
25-34,Retail & E-commerce,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Woman,107500.0,344000000.0
35-44,Education,USD,United States,5-7 years,5-7 years,PhD,Woman,96000.0,384000000.0
25-34,Education,USD,United States,5-7 years,1 year or less,Master's degree,Woman,54000.0,216000000.0
25-34,Marketing & PR,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,105000.0,420000000.0
35-44,Technology,USD,United States,11 - 20 years,5-7 years,Master's degree,Woman,75000.0,300000000.0
35-44,Media & Publishing,CAD,Canada,11 - 20 years,11 - 20 years,College degree,Woman,52000.0,166400000.0
35-44,Manufacturing,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,106000.0,424000000.0
25-34,Government,USD,United States,5-7 years,5-7 years,PhD,Woman,115000.0,460000000.0
25-34,Other,USD,United States,11 - 20 years,5-7 years,College degree,Woman,103500.0,414000000.0
25-34,Legal,USD,United States,8 - 10 years,2 - 4 years,Some college,Woman,33200.0,132800000.0
35-44,Government,GBP,United Kingdom,11 - 20 years,11 - 20 years,Master's degree,Woman,52000.0,260000000.0
25-34,Education,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,52000.0,208000000.0
25-34,Government,CAD,Canada,8 - 10 years,5-7 years,Master's degree,Woman,79000.0,252800000.0
65 or over,Real Estate,USD,United States,41 years or more,21 - 30 years,College degree,Man,129000.0,516000000.0
25-34,Education,CAD,Canada,5-7 years,2 - 4 years,College degree,Woman,75000.0,240000000.0
18-24,Science & Research,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,52000.0,208000000.0
25-34,Education,USD,United States,5-7 years,2 - 4 years,Master's degree,Non-binary,70000.0,280000000.0
25-34,Nonprofit,USD,United States,5-7 years,5-7 years,Master's degree,Woman,92400.0,369600000.0
35-44,Healthcare,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,53000.0,212000000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,College degree,Woman,36000.0,144000000.0
25-34,Nonprofit,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,38000.0,152000000.0
25-34,Government,USD,United States,5-7 years,2 - 4 years,Master's degree,Man,87000.0,348000000.0
35-44,Aerospace & Defense,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,125600.0,502400000.0
25-34,Finance,GBP,United Kingdom,5-7 years,2 - 4 years,Master's degree,Woman,47000.0,235000000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,Some college,Woman,45000.0,180000000.0
35-44,Technology,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,88000.0,352000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,71000.0,284000000.0
45-54,Education,USD,United States,11 - 20 years,11 - 20 years,PhD,Woman,71000.0,284000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,75000.0,300000000.0
35-44,Education,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,80000.0,320000000.0
35-44,Technology,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,125000.0,500000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,65000.0,260000000.0
45-54,Education,GBP,United Kingdom,21 - 30 years,21 - 30 years,College degree,Woman,36000.0,180000000.0
25-34,Nonprofit,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,55000.0,220000000.0
25-34,Arts & Culture,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,91000.0,364000000.0
35-44,Manufacturing,USD,United States,8 - 10 years,5-7 years,College degree,Woman,118000.0,472000000.0
35-44,Nonprofit,CAD,Canada,11 - 20 years,11 - 20 years,High School,Man,60000.0,192000000.0
35-44,Education,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,65000.0,260000000.0
25-34,Other,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,93500.0,374000000.0
25-34,Marketing & PR,USD,United States,8 - 10 years,2 - 4 years,Some college,Woman,39520.0,158080000.0
45-54,Technology,CAD,Canada,21 - 30 years,21 - 30 years,Master's degree,Man,115000.0,368000000.0
25-34,Energy,USD,United States,8 - 10 years,5-7 years,College degree,Woman,76000.0,304000000.0
55-64,Other,USD,United States,31 - 40 years,11 - 20 years,Master's degree,Woman,240000.0,960000000.0
25-34,Finance,USD,United States,5-7 years,5-7 years,Master's degree,Woman,90000.0,360000000.0
25-34,Government,GBP,United Kingdom,5-7 years,5-7 years,Some college,Man,19300.0,96500000.0
55-64,Other,USD,United States,31 - 40 years,11 - 20 years,Master's degree,Woman,70000.0,280000000.0
45-54,Technology,USD,United States,21 - 30 years,21 - 30 years,College degree,Man,98166.0,392664000.0
25-34,Education,USD,United States,5-7 years,1 year or less,Master's degree,Woman,63500.0,254000000.0
55-64,Environment,USD,United States,21 - 30 years,8 - 10 years,Master's degree,Woman,58000.0,232000000.0
25-34,Nonprofit,USD,United States,5-7 years,2 - 4 years,College degree,Woman,49700.0,198800000.0
55-64,Technology,USD,United States,31 - 40 years,31 - 40 years,Some college,Man,95000.0,380000000.0
35-44,Media & Publishing,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Woman,48000.0,153600000.0
25-34,Education,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,39940.0,159760000.0
25-34,Government,USD,United States,8 - 10 years,5-7 years,College degree,Man,53000.0,212000000.0
45-54,Education,USD,United States,31 - 40 years,21 - 30 years,Some college,Woman,47255.0,189020000.0
35-44,Real Estate,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,206000.0,824000000.0
45-54,Healthcare,USD,United States,21 - 30 years,11 - 20 years,College degree,Woman,34361.0,137444000.0
45-54,Manufacturing,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,170000.0,680000000.0
25-34,Hospitality,USD,United States,5-7 years,5-7 years,College degree,Woman,75000.0,300000000.0
35-44,Education,USD,United States,5-7 years,2 - 4 years,College degree,Woman,20000.0,80000000.0
25-34,Technology,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,123303.0,493212000.0
35-44,Government,CAD,Canada,11 - 20 years,5-7 years,College degree,Woman,78000.0,249600000.0
45-54,Education,USD,United States,21 - 30 years,11 - 20 years,PhD,Man,105000.0,420000000.0
45-54,Marketing & PR,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,42000.0,168000000.0
25-34,Finance,USD,United States,5-7 years,5-7 years,Master's degree,Woman,105000.0,420000000.0
25-34,Technology,GBP,United Kingdom,5-7 years,2 - 4 years,High School,Man,50000.0,250000000.0
35-44,Education,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,121500.0,486000000.0
45-54,Finance,GBP,United Kingdom,21 - 30 years,21 - 30 years,Master's degree,Woman,71000.0,355000000.0
35-44,Transport & Logistics,EUR,Netherlands,11 - 20 years,11 - 20 years,Master's degree,Woman,63000.0,283500000.0
25-34,Education,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,75000.0,300000000.0
35-44,Education,USD,United States,2 - 4 years,2 - 4 years,PhD,Woman,160000.0,640000000.0
25-34,Finance,CAD,Canada,2 - 4 years,2 - 4 years,College degree,Woman,105000.0,336000000.0
25-34,Marketing & PR,USD,United States,5-7 years,5-7 years,Master's degree,Woman,50000.0,200000000.0
45-54,Finance,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,85000.0,340000000.0
35-44,Media & Publishing,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,42000.0,168000000.0
35-44,Nonprofit,USD,United States,21 - 30 years,8 - 10 years,Master's degree,Woman,54100.0,216400000.0
35-44,Education,CAD,Canada,5-7 years,5-7 years,PhD,Woman,92000.0,294400000.0
45-54,Government,GBP,United Kingdom,21 - 30 years,11 - 20 years,Master's degree,Woman,50870.0,254350000.0
55-64,Healthcare,USD,United States,31 - 40 years,31 - 40 years,College degree,Woman,60500.0,242000000.0
55-64,Nonprofit,USD,United States,31 - 40 years,21 - 30 years,College degree,Woman,101500.0,406000000.0
25-34,Education,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,37033.0,148132000.0
25-34,Media & Publishing,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,85000.0,340000000.0
25-34,Education,USD,United States,5-7 years,5-7 years,College degree,Woman,62000.0,248000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,130000.0,520000000.0
55-64,Education,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,55000.0,220000000.0
25-34,Government,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,59015.0,236060000.0
25-34,Other,USD,United States,5-7 years,5-7 years,College degree,Woman,74000.0,296000000.0
45-54,Social Services,USD,United States,21 - 30 years,8 - 10 years,Master's degree,Woman,53000.0,212000000.0
25-34,Other,USD,United States,5-7 years,5-7 years,Master's degree,Woman,63000.0,252000000.0
35-44,Manufacturing,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,100000.0,400000000.0
35-44,Other,AUD/NZD,Australia,11 - 20 years,8 - 10 years,Master's degree,Man,85000.0,238000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,Some college,Woman,38000.0,152000000.0
18-24,Hospitality,USD,United States,5-7 years,2 - 4 years,College degree,Non-binary,33780.0,135120000.0
35-44,Finance,USD,United States,11 - 20 years,8 - 10 years,Some college,Woman,58500.0,234000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,85000.0,340000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,62000.0,248000000.0
25-34,Legal,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Non-binary,74000.0,296000000.0
25-34,Nonprofit,USD,United States,5-7 years,2 - 4 years,College degree,Woman,64000.0,256000000.0
25-34,Other,GBP,United Kingdom,11 - 20 years,8 - 10 years,College degree,Woman,55000.0,275000000.0
25-34,Education,EUR,Other,8 - 10 years,5-7 years,College degree,Woman,18000.0,81000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,92000.0,368000000.0
18-24,Other,GBP,United Kingdom,2 - 4 years,1 year or less,Master's degree,Man,19000.0,95000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Man,42000.0,168000000.0
55-64,Science & Research,USD,United States,21 - 30 years,8 - 10 years,College degree,Man,144000.0,576000000.0
45-54,Finance,USD,United States,31 - 40 years,31 - 40 years,High School,Woman,73000.0,292000000.0
35-44,Nonprofit,GBP,United Kingdom,11 - 20 years,11 - 20 years,College degree,Woman,54000.0,270000000.0
45-54,Healthcare,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,100000.0,400000000.0
25-34,Media & Publishing,GBP,United Kingdom,11 - 20 years,5-7 years,College degree,Woman,27000.0,135000000.0
18-24,Government,USD,United States,2 - 4 years,1 year or less,Master's degree,Woman,63129.0,252516000.0
45-54,Education,USD,United States,11 - 20 years,11 - 20 years,PhD,Woman,135000.0,540000000.0
25-34,Technology,USD,United States,11 - 20 years,5-7 years,College degree,Woman,130000.0,520000000.0
25-34,Nonprofit,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,26000.0,104000000.0
25-34,Finance,USD,United States,5-7 years,5-7 years,Master's degree,Woman,60000.0,240000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,5-7 years,College degree,Woman,37000.0,148000000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,College degree,Woman,88000.0,352000000.0
35-44,Media & Publishing,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,65000.0,260000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,92000.0,368000000.0
25-34,Healthcare,EUR,Finland,2 - 4 years,2 - 4 years,College degree,Woman,35000.0,157500000.0
25-34,Manufacturing,USD,United States,5-7 years,2 - 4 years,College degree,Man,69000.0,276000000.0
35-44,Marketing & PR,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,35000.0,140000000.0
25-34,Finance,USD,United States,8 - 10 years,5-7 years,College degree,Woman,75000.0,300000000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,College degree,Man,122500.0,490000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,70000.0,280000000.0
45-54,Technology,USD,United States,21 - 30 years,11 - 20 years,Some college,Woman,145000.0,580000000.0
35-44,Other,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,62000.0,248000000.0
35-44,Marketing & PR,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,400000.0,1600000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,61200.0,244800000.0
25-34,Marketing & PR,GBP,United Kingdom,8 - 10 years,8 - 10 years,College degree,Woman,95000.0,475000000.0
25-34,Other,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,66000.0,264000000.0
35-44,Technology,USD,United States,8 - 10 years,5-7 years,College degree,Woman,70000.0,280000000.0
25-34,Education,USD,United States,5-7 years,5-7 years,College degree,Woman,52000.0,208000000.0
45-54,Real Estate,USD,United States,21 - 30 years,11 - 20 years,Some college,Woman,80500.0,322000000.0
25-34,Marketing & PR,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,57000.0,228000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,83200.0,332800000.0
18-24,Marketing & PR,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,77500.0,310000000.0
35-44,Retail & E-commerce,USD,United States,11 - 20 years,1 year or less,College degree,Woman,31200.0,124800000.0
25-34,Healthcare,GBP,United Kingdom,2 - 4 years,1 year or less,Master's degree,Woman,32000.0,160000000.0
35-44,Marketing & PR,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,225000.0,900000000.0
25-34,Education,USD,United States,8 - 10 years,5-7 years,College degree,Man,57500.0,230000000.0
45-54,Legal,USD,United States,11 - 20 years,11 - 20 years,PhD,Woman,220000.0,880000000.0
25-34,Retail & E-commerce,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,100000.0,400000000.0
25-34,Technology,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,80000.0,320000000.0
25-34,Education,USD,United States,5-7 years,5-7 years,Master's degree,Woman,52500.0,210000000.0
25-34,Media & Publishing,EUR,France,2 - 4 years,2 - 4 years,Master's degree,Woman,36000.0,162000000.0
25-34,Finance,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,94000.0,376000000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,College degree,Woman,57000.0,228000000.0
35-44,Technology,USD,United States,8 - 10 years,5-7 years,College degree,Woman,91000.0,364000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,90000.0,360000000.0
35-44,Hospitality,USD,United States,8 - 10 years,5-7 years,College degree,Woman,66950.0,267800000.0
25-34,Government,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,76000.0,304000000.0
25-34,Manufacturing,GBP,United Kingdom,8 - 10 years,8 - 10 years,Master's degree,Woman,58000.0,290000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,75000.0,300000000.0
25-34,Education,USD,United States,2 - 4 years,2 - 4 years,PhD,Non-binary,62500.0,250000000.0
35-44,Manufacturing,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,80000.0,320000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,70000.0,280000000.0
25-34,Education,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,34299.0,137196000.0
25-34,Technology,GBP,United Kingdom,11 - 20 years,11 - 20 years,Master's degree,Woman,90000.0,450000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,50000.0,200000000.0
35-44,Hospitality,USD,United States,11 - 20 years,5-7 years,College degree,Woman,85000.0,340000000.0
35-44,Retail & E-commerce,USD,United States,8 - 10 years,2 - 4 years,High School,Woman,102000.0,408000000.0
35-44,Legal,USD,United States,11 - 20 years,2 - 4 years,Master's degree,Woman,125000.0,500000000.0
35-44,Other,USD,United States,11 - 20 years,5-7 years,Some college,Woman,60000.0,240000000.0
55-64,Legal,USD,United States,31 - 40 years,31 - 40 years,Master's degree,Woman,275000.0,1100000000.0
25-34,Other,USD,United States,5-7 years,2 - 4 years,College degree,Woman,48500.0,194000000.0
35-44,Manufacturing,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,148000.0,592000000.0
25-34,Legal,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,54580.0,218320000.0
35-44,Finance,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,200000.0,800000000.0
25-34,Marketing & PR,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Woman,60000.0,192000000.0
45-54,Education,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Man,71000.0,284000000.0
25-34,Nonprofit,USD,United States,5-7 years,2 - 4 years,College degree,Woman,53000.0,212000000.0
35-44,Healthcare,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,82160.0,328640000.0
25-34,Other,USD,United States,11 - 20 years,2 - 4 years,College degree,Woman,71000.0,284000000.0
18-24,Manufacturing,USD,United States,5-7 years,5-7 years,College degree,Woman,25700.0,102800000.0
25-34,Other,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,105000.0,420000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,77000.0,308000000.0
35-44,Healthcare,USD,United States,11 - 20 years,5-7 years,Master's degree,Woman,50000.0,200000000.0
25-34,Education,GBP,United Kingdom,5-7 years,5-7 years,College degree,Woman,25217.0,126085000.0
25-34,Government,USD,United States,5-7 years,2 - 4 years,College degree,Non-binary,31616.0,126464000.0
35-44,Government,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,97000.0,388000000.0
18-24,Other,USD,United States,1 year or less,1 year or less,College degree,Woman,62000.0,248000000.0
35-44,Other,USD,United States,11 - 20 years,8 - 10 years,College degree,Woman,82500.0,330000000.0
25-34,Education,USD,United States,5-7 years,5-7 years,College degree,Non-binary,71000.0,284000000.0
45-54,Technology,USD,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,88000.0,352000000.0
25-34,Real Estate,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,31500.0,126000000.0
25-34,Healthcare,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,76000.0,304000000.0
35-44,Healthcare,USD,United States,21 - 30 years,21 - 30 years,College degree,Non-binary,195000.0,780000000.0
25-34,Finance,USD,United States,11 - 20 years,2 - 4 years,Some college,Woman,45760.0,183040000.0
25-34,Marketing & PR,USD,United States,5-7 years,5-7 years,College degree,Woman,86000.0,344000000.0
25-34,Manufacturing,CAD,Canada,5-7 years,5-7 years,Master's degree,Woman,78240.0,250368000.0
25-34,Education,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,56000.0,224000000.0
25-34,Education,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,69000.0,276000000.0
25-34,Legal,USD,Other,5-7 years,5-7 years,Master's degree,Woman,125000.0,500000000.0
25-34,Real Estate,USD,United States,5-7 years,2 - 4 years,College degree,Woman,55000.0,220000000.0
35-44,Technology,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,175000.0,700000000.0
25-34,Healthcare,USD,United States,8 - 10 years,2 - 4 years,College degree,Woman,60000.0,240000000.0
25-34,Legal,USD,United States,1 year or less,1 year or less,Master's degree,Woman,190000.0,760000000.0
45-54,Utilities & Telecommunications,USD,United States,21 - 30 years,8 - 10 years,Some college,Woman,60320.0,241280000.0
35-44,Pharmaceuticals,USD,United States,5-7 years,2 - 4 years,PhD,Woman,143750.0,575000000.0
45-54,Education,USD,United States,21 - 30 years,21 - 30 years,PhD,Woman,94000.0,376000000.0
25-34,Healthcare,CAD,Canada,8 - 10 years,2 - 4 years,Master's degree,Woman,98000.0,313600000.0
35-44,Government,USD,United States,11 - 20 years,11 - 20 years,Some college,Woman,49000.0,196000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,120000.0,480000000.0
25-34,Education,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Non-binary,28000.0,112000000.0
55-64,Other,USD,United States,31 - 40 years,31 - 40 years,College degree,Woman,135000.0,540000000.0
35-44,Education,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,40575.0,162300000.0
25-34,Nonprofit,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,75500.0,302000000.0
25-34,Marketing & PR,USD,United States,5-7 years,5-7 years,College degree,Woman,127000.0,508000000.0
35-44,Government,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,70000.0,280000000.0
25-34,Technology,USD,United States,5-7 years,5-7 years,College degree,Woman,111400.0,445600000.0
18-24,Other,USD,United States,1 year or less,1 year or less,Some college,Woman,29000.0,116000000.0
55-64,Marketing & PR,USD,United States,31 - 40 years,31 - 40 years,College degree,Woman,61000.0,244000000.0
55-64,Nonprofit,USD,United States,11 - 20 years,5-7 years,Master's degree,Woman,47250.0,189000000.0
35-44,Manufacturing,USD,United States,11 - 20 years,11 - 20 years,Some college,Man,100000.0,400000000.0
35-44,Technology,EUR,Germany,21 - 30 years,11 - 20 years,High School,Non-binary,260000.0,1170000000.0
35-44,Nonprofit,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,45000.0,180000000.0
25-34,Other,USD,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,72000.0,288000000.0
25-34,Government,USD,United States,5-7 years,5-7 years,Master's degree,Woman,78167.0,312668000.0
25-34,Finance,USD,United States,8 - 10 years,8 - 10 years,College degree,Woman,187500.0,750000000.0
45-54,Technology,USD,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,124000.0,496000000.0
45-54,Marketing & PR,USD,United States,21 - 30 years,21 - 30 years,College degree,Man,108000.0,432000000.0
35-44,Finance,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,115000.0,460000000.0
35-44,Education,USD,United States,11 - 20 years,5-7 years,Master's degree,Woman,83000.0,332000000.0
25-34,Manufacturing,USD,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,124000.0,496000000.0
25-34,Education,USD,United States,5-7 years,5-7 years,Master's degree,Woman,45000.0,180000000.0
25-34,Government,USD,United States,11 - 20 years,5-7 years,PhD,Woman,93000.0,372000000.0
35-44,Manufacturing,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,134550.0,538200000.0
45-54,Finance,USD,United States,21 - 30 years,21 - 30 years,Some college,Woman,66000.0,264000000.0
35-44,Education,USD,United States,8 - 10 years,5-7 years,Master's degree,Woman,71697.0,286788000.0
45-54,Real Estate,USD,United States,31 - 40 years,21 - 30 years,Some college,Woman,99000.0,396000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,120000.0,480000000.0
